term,JHarlan2,HLBlack,WODouglas,PStewart,TMarshall,WJBrennan,BRWhite,EWarren,TCClark,FFrankfurter,CEWhittaker,HHBurton,SFReed,AFortas,AJGoldberg,SMinton,RHJackson,WEBurger,HABlackmun,LFPowell,WHRehnquist,JPStevens,SDOConnor,AScalia,AMKennedy,DHSouter,CThomas,RBGinsburg,SGBreyer
1953,,False,True,,,,,False,False,False,,False,False,,,False,True,,,,,,,,,,,,
1953,,True,True,,,,,True,True,True,,True,False,,,False,True,,,,,,,,,,,,
1953,,False,False,,,,,False,False,False,,True,True,,,False,False,,,,,,,,,,,,
1953,,False,False,,,,,False,False,True,,False,False,,,True,True,,,,,,,,,,,,
1953,,True,True,,,,,True,True,True,,False,True,,,False,False,,,,,,,,,,,,
1953,,True,False,,,,,,True,True,,True,False,,,True,True,,,,,,,,,,,,
1953,,False,False,,,,,False,False,False,,True,True,,,False,True,,,,,,,,,,,,
1953,,True,True,,,,,True,True,False,,True,True,,,False,True,,,,,,,,,,,,
1953,,False,False,,,,,True,True,False,,True,True,,,False,False,,,,,,,,,,,,
1953,,False,False,,,,,True,True,False,,True,True,,,True,True,,,,,,,,,,,,
1953,,False,True,,,,,False,False,False,,False,False,,,False,False,,,,,,,,,,,,
1953,,False,False,,,,,True,True,False,,False,False,,,True,True,,,,,,,,,,,,
1953,,True,,,,,,False,False,False,,False,False,,,False,False,,,,,,,,,,,,
1953,,False,True,,,,,False,False,False,,False,,,,False,False,,,,,,,,,,,,
1953,,False,False,,,,,False,False,True,,False,False,,,False,True,,,,,,,,,,,,
1953,,False,False,,,,,False,False,False,,False,True,,,False,False,,,,,,,,,,,,
1953,,True,False,,,,,False,False,True,,False,False,,,False,False,,,,,,,,,,,,
1953,,False,False,,,,,True,True,True,,True,True,,,True,False,,,,,,,,,,,,
1953,,True,False,,,,,False,False,False,,False,False,,,False,False,,,,,,,,,,,,
1953,,True,True,,,,,False,False,False,,False,,,,True,False,,,,,,,,,,,,
1953,,True,True,,,,,False,False,False,,False,False,,,False,False,,,,,,,,,,,,
1953,,True,True,,,,,False,False,False,,False,False,,,False,False,,,,,,,,,,,,
1953,,True,False,,,,,True,,False,,False,False,,,False,,,,,,,,,,,,,
1953,,False,False,,,,,False,True,True,,True,True,,,True,True,,,,,,,,,,,,
1953,,True,True,,,,,False,False,True,,True,False,,,False,False,,,,,,,,,,,,
1953,,True,False,,,,,True,True,True,,True,True,,,False,True,,,,,,,,,,,,
1953,,True,False,,,,,True,True,True,,True,True,,,False,True,,,,,,,,,,,,
1953,,True,True,,,,,False,False,False,,False,False,,,False,False,,,,,,,,,,,,
1953,,False,False,,,,,True,True,True,,True,True,,,True,True,,,,,,,,,,,,
1953,,True,True,,,,,False,False,False,,False,,,,True,,,,,,,,,,,,,
1953,,True,True,,,,,True,True,True,,False,False,,,False,False,,,,,,,,,,,,
1953,,,False,,,,,True,,True,,False,True,,,False,True,,,,,,,,,,,,
1953,,True,True,,,,,False,False,False,,False,False,,,True,False,,,,,,,,,,,,
1953,,False,False,,,,,False,False,True,,True,True,,,True,True,,,,,,,,,,,,
1953,,False,False,,,,,False,False,True,,True,True,,,True,True,,,,,,,,,,,,
1953,,True,True,,,,,True,True,True,,True,False,,,True,True,,,,,,,,,,,,
1953,,False,False,,,,,True,True,True,,True,True,,,False,False,,,,,,,,,,,,
1953,,True,True,,,,,True,,True,,False,False,,,True,True,,,,,,,,,,,,
1953,,False,False,,,,,False,False,True,,True,False,,,False,True,,,,,,,,,,,,
1953,,True,False,,,,,,True,False,,True,True,,,True,False,,,,,,,,,,,,
1953,,False,False,,,,,False,True,True,,True,True,,,False,True,,,,,,,,,,,,
1953,,True,True,,,,,False,False,True,,False,False,,,False,False,,,,,,,,,,,,
1953,,True,False,,,,,False,False,False,,False,False,,,False,,,,,,,,,,,,,
1953,,True,True,,,,,False,False,False,,False,False,,,False,False,,,,,,,,,,,,
1953,,True,True,,,,,True,True,True,,False,False,,,False,,,,,,,,,,,,,
1953,,False,False,,,,,False,False,True,,False,False,,,False,True,,,,,,,,,,,,
1953,,False,,,,,,True,True,True,,True,True,,,True,,,,,,,,,,,,,
1953,,False,False,,,,,True,,True,,True,True,,,True,False,,,,,,,,,,,,
1953,,False,False,,,,,False,False,False,,True,True,,,True,False,,,,,,,,,,,,
1953,,False,False,,,,,False,True,True,,True,True,,,True,,,,,,,,,,,,,
1953,,True,True,,,,,False,False,False,,False,False,,,False,,,,,,,,,,,,,
1953,,False,True,,,,,False,True,False,,True,False,,,False,,,,,,,,,,,,,
1954,,True,True,,,,,True,True,True,,False,False,,,False,,,,,,,,,,,,,
1954,,True,True,,,,,True,True,False,,True,False,,,True,,,,,,,,,,,,,
1954,,True,True,,,,,False,False,False,,False,False,,,False,,,,,,,,,,,,,
1954,,False,True,,,,,False,False,False,,False,False,,,False,,,,,,,,,,,,,
1954,,True,False,,,,,False,False,False,,False,True,,,True,,,,,,,,,,,,,
1954,,True,False,,,,,True,True,True,,True,True,,,True,,,,,,,,,,,,,
1954,,True,True,,,,,False,False,False,,False,False,,,False,,,,,,,,,,,,,
1954,,True,False,,,,,True,True,True,,True,False,,,True,,,,,,,,,,,,,
1954,,True,True,,,,,True,True,False,,True,True,,,False,,,,,,,,,,,,,
1954,,True,False,,,,,True,True,True,,True,False,,,True,,,,,,,,,,,,,
1954,,False,True,,,,,True,False,True,,False,False,,,False,,,,,,,,,,,,,
1954,,True,True,,,,,True,True,True,,False,False,,,True,,,,,,,,,,,,,
1954,,True,True,,,,,True,True,False,,False,True,,,True,,,,,,,,,,,,,
1954,,True,False,,,,,True,True,True,,True,True,,,True,,,,,,,,,,,,,
1954,,True,,,,,,True,False,True,,False,False,,,True,,,,,,,,,,,,,
1954,,True,True,,,,,False,False,False,,False,False,,,False,,,,,,,,,,,,,
1954,,True,True,,,,,True,True,True,,True,False,,,False,,,,,,,,,,,,,
1954,,True,True,,,,,True,True,True,,True,False,,,False,,,,,,,,,,,,,
1954,,True,True,,,,,True,True,True,,False,False,,,False,,,,,,,,,,,,,
1954,,True,True,,,,,False,False,True,,False,False,,,False,,,,,,,,,,,,,
1954,,True,False,,,,,True,True,True,,True,True,,,True,,,,,,,,,,,,,
1954,,True,True,,,,,False,False,False,,False,False,,,False,,,,,,,,,,,,,
1954,,True,True,,,,,True,False,False,,False,False,,,False,,,,,,,,,,,,,
1954,,True,True,,,,,False,False,False,,False,False,,,False,,,,,,,,,,,,,
1954,,True,True,,,,,True,True,True,,True,False,,,True,,,,,,,,,,,,,
1954,,True,False,,,,,False,True,False,,False,True,,,False,,,,,,,,,,,,,
1954,,False,True,,,,,True,True,False,,False,False,,,False,,,,,,,,,,,,,
